Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,063,Idaho,Ada County,Idaho,Lincoln County,7,11,19,15,-12,19,26,18,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,065,Idaho,Ada County,Idaho,Madison County,81,65,66,50,15,82,147,82,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,067,Idaho,Ada County,Idaho,Minidoka County,57,57,38,41,19,70,95,69,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,069,Idaho,Ada County,Idaho,Nez Perce County,67,48,154,101,-87,114,221,110,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,071,Idaho,Ada County,Idaho,Oneida County,0,28,2,5,-2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,073,Idaho,Ada County,Idaho,Owyhee County,0,28,203,128,-203,128,203,128,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,075,Idaho,Ada County,Idaho,Payette County,123,76,94,83,29,110,217,115,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,077,Idaho,Ada County,Idaho,Power County,34,39,3,5,31,39,37,39,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,079,Idaho,Ada County,Idaho,Shoshone County,19,23,30,23,-11,33,49,32,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,083,Idaho,Ada County,Idaho,Twin Falls County,749,349,393,158,356,351,"1,142",412,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,085,Idaho,Ada County,Idaho,Valley County,69,57,158,121,-89,141,227,125,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,087,Idaho,Ada County,Idaho,Washington County,82,66,19,24,63,69,101,72,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,019,Idaho,Ada County,Illinois,Champaign County,25,43,0,26,25,43,25,43,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,031,Idaho,Ada County,Illinois,Cook County,105,97,30,34,75,106,135,100,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,043,Idaho,Ada County,Illinois,DuPage County,38,62,0,26,38,62,38,62,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,067,Idaho,Ada County,Illinois,Hancock County,32,52,6,9,26,53,38,53,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,091,Idaho,Ada County,Illinois,Kankakee County,1,3,0,26,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,097,Idaho,Ada County,Illinois,Lake County,0,28,48,66,-48,66,48,66,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,113,Idaho,Ada County,Illinois,McLean County,37,63,0,26,37,63,37,63,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,161,Idaho,Ada County,Illinois,Rock Island County,0,28,26,40,-26,40,26,40,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,187,Idaho,Ada County,Illinois,Warren County,21,36,0,17,21,36,21,36,,,,,,,,,,,,,,,,,,,,,,,,
016,001,017,197,Idaho,Ada County,Illinois,Will County,0,28,61,60,-61,60,61,60,,,,,,,,,,,,,,,,,,,,,,,,
016,001,018,067,Idaho,Ada County,Indiana,Howard County,0,28,6,10,-6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
016,001,018,089,Idaho,Ada County,Indiana,Lake County,50,79,13,21,37,82,63,82,,,,,,,,,,,,,,,,,,,,,,,,
016,001,018,091,Idaho,Ada County,Indiana,LaPorte County,0,28,5,9,-5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
016,001,018,097,Idaho,Ada County,Indiana,Marion County,0,28,16,24,-16,24,16,24,,,,,,,,,,,,,,,,,,,,,,,,
016,001,018,127,Idaho,Ada County,Indiana,Porter County,0,28,5,9,-5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
016,001,018,157,Idaho,Ada County,Indiana,Tippecanoe County,0,28,10,15,-10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
016,001,019,019,Idaho,Ada County,Iowa,Buchanan County,17,30,0,17,17,30,17,30,,,,,,,,,,,,,,,,,,,,,,,,
016,001,019,077,Idaho,Ada County,Iowa,Guthrie County,0,28,9,12,-9,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,
016,001,019,103,Idaho,Ada County,Iowa,Johnson County,0,28,22,34,-22,34,22,34,,,,,,,,,,,,,,,,,,,,,,,,
016,001,019,113,Idaho,Ada County,Iowa,Linn County,0,28,15,25,-15,25,15,25,,,,,,,,,,,,,,,,,,,,,,,,
016,001,019,119,Idaho,Ada County,Iowa,Lyon County,0,28,3,4,-3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
016,001,019,139,Idaho,Ada County,Iowa,Muscatine County,0,28,24,41,-24,41,24,41,,,,,,,,,,,,,,,,,,,,,,,,
