"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","BOISE","015","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","50,187","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","BOISE","015","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,215,716","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","CANYON","027","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","219,414","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","CANYON","027","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","44,435","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","CANYON","027","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","375,709","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","ELMORE","039","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","148,873","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","ELMORE","039","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","218,465","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","ELMORE","039","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,967,995","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","GEM","045","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","28,323","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","GEM","045","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","148,439","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","GEM","045","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","358,252","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","OWYHEE","073","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","137,780","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","OWYHEE","073","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","562,508","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","OWYHEE","073","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","4,907,652","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","PAYETTE","075","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","57,361","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","PAYETTE","075","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","102,051","30.7"
